OLD OI,Lot,Top-3,O-Cost,Cost,O-Avg,Symbol,D.QTY,QTY,% Top-3,% O-Cost,% Cost,% Avg,Current,Diff
13775,1250,555.7199081163859,559.6299312960488,560.0159976158546,568.9631123919308,DABUR,0.0,0.0,0.008511647350635315,0.0006898600275217323,0.0007749821183556742,-0.01496250320366382,560.45,560.45,False
2623,500,2307.4343180389687,2220.134745513386,2231.7796703296704,2396.0165975103737,DALBHARAT,0.0,0.0,-0.014229795310868872,0.00524514326881165,0.019186629504517484,-0.05067435577722374,2274.6,2274.6,False
7701,300,2193.492968760533,2214.4147457069244,2216.2391958688863,2282.512883941455,DEEPAKNTR,0.0,0.0,-0.0028233364996981874,0.0008238972240855196,-0.013057794448735217,-0.041714061993394246,2187.3,2187.3,False
4610,2800,186.2709018449362,184.9497092767802,184.93898877962957,181.51053864168617,DELTACORP,0.0,0.0,-0.05755542996114843,-5.796439038779875e-05,-0.05076803350978268,-0.03283852654667427,175.55,175.55,False
11405,200,3734.441085857118,3696.219799316105,3703.153157108984,3811.711527208894,DIVISLAB,0.0,0.0,0.006469218174139927,0.0018757969410157986,0.014972873261958923,-0.013933774061801778,3758.6,3758.6,False
6072,200,5082.596031312579,5044.5047102483595,5046.233618973427,5102.670355270821,DIXON,0.0,0.0,-0.04310711100445205,0.00034273111521830504,-0.03621188251894709,-0.04687160616279464,4863.5,4863.5,False
19497,1650,521.3467972970018,513.3970968732184,514.8471845771305,538.0889498053893,DLF,0.0,0.0,-0.004980940346167384,0.0028244953326454275,0.0075805317379273535,-0.03594006123408345,518.75,518.75,False
21528,125,5731.8302488303725,5729.771236700929,5730.526900347695,5746.566903331513,DRREDDY,0.0,0.0,-0.010342289680066669,0.00013188373768325973,-0.010117202371770951,-0.012880195180291355,5672.55,5672.55,False
21097,175,3383.0458270746044,3389.8331625730348,3389.294336440609,3378.249671857817,EICHERMOT,0.0,0.0,0.015549352747279718,-0.0001589535846114003,0.013677084064664915,0.01699114444392645,3435.65,3435.65,False
5493,275,3108.4280954380197,3097.8387873364068,3098.507006932912,3116.728684515707,ESCORTS,0.0,0.0,0.0004574352432559202,0.00021570509067063946,0.0036607930986464646,-0.0022070206334869925,3109.85,3109.85,False
4641,3600,270.76721982268697,269.6996695168858,269.6664627615987,268.77416613554277,EXIDEIND,0.0,0.0,-0.04530540968260562,-0.00012312493873863515,-0.04140842226818002,-0.038226018085240794,258.5,258.5,False
22939,5000,144.7872878080685,144.65736845849239,144.7740560099506,147.18005215123856,FEDERALBNK,0.0,0.0,0.00941182207748744,0.0008066478237623223,0.009504078479053053,-0.006998585312227599,146.15,146.15,False
